STNAME,CTYNAME,STCODE,CTYCODE,year,cases
Idaho,Bingham County,16,11,Cases2000,0
Idaho,Blaine County,16,13,Cases2000,0
Idaho,Boise County,16,15,Cases2000,0
Idaho,Bonner County,16,17,Cases2000,0
Idaho,Bonneville County,16,19,Cases2000,0
Idaho,Boundary County,16,21,Cases2000,1
Idaho,Butte County,16,23,Cases2000,0
Idaho,Camas County,16,25,Cases2000,0
Idaho,Canyon County,16,27,Cases2000,0
Idaho,Caribou County,16,29,Cases2000,0
Idaho,Cassia County,16,31,Cases2000,0
Idaho,Clark County,16,33,Cases2000,0
Idaho,Clearwater County,16,35,Cases2000,0
Idaho,Custer County,16,37,Cases2000,0
Idaho,Elmore County,16,39,Cases2000,0
Idaho,Franklin County,16,41,Cases2000,0
Idaho,Fremont County,16,43,Cases2000,0
Idaho,Gem County,16,45,Cases2000,0
Idaho,Gooding County,16,47,Cases2000,0
Idaho,Idaho County,16,49,Cases2000,0
Idaho,Jefferson County,16,51,Cases2000,0
Idaho,Jerome County,16,53,Cases2000,0
Idaho,Kootenai County,16,55,Cases2000,0
Idaho,Latah County,16,57,Cases2000,0
Idaho,Lemhi County,16,59,Cases2000,1
Idaho,Lewis County,16,61,Cases2000,0
Idaho,Lincoln County,16,63,Cases2000,0
Idaho,Madison County,16,65,Cases2000,0
Idaho,Minidoka County,16,67,Cases2000,0
Idaho,Nez Perce County,16,69,Cases2000,1
Idaho,Oneida County,16,71,Cases2000,0
Idaho,Owyhee County,16,73,Cases2000,0
Idaho,Payette County,16,75,Cases2000,0
