fips,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop20104,pop2010,pop2011,pop2012,pop2013,pop2014
05015,25411,25678,25984,26279,26370,26821,27083,27278,27486,27938,NA,NA,NA,NA,NA,NA
05015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27446,27560,27470,27598,27760,27744
05017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11800,11794,11673,11458,11338,11180
05017,14083,13769,13390,13180,12857,12720,12501,12308,12045,11823,NA,NA,NA,NA,NA,NA
05019,23508,23654,23548,23294,23237,23209,23392,23684,23883,23835,NA,NA,NA,NA,NA,NA
05019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22995,22950,22953,22822,22697,22576
05021,17542,17256,16972,16769,16588,16483,16315,16068,15774,15585,NA,NA,NA,NA,NA,NA
05021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16083,16057,15836,15580,15294,15118
05023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25970,25989,25908,25778,25656,25634
05023,24113,24188,24324,24606,24868,25070,25176,25282,25334,25600,NA,NA,NA,NA,NA,NA
05025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8689,8690,8668,8615,8562,8449
05025,8544,8621,8596,8629,8652,8741,8692,8735,8597,8436,NA,NA,NA,NA,NA,NA
05027,25564,25311,25171,24815,24791,24572,24622,24308,24104,23854,NA,NA,NA,NA,NA,NA
05027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24552,24729,24670,24401,24266,23933
05029,20321,20336,20297,20338,20351,20460,20481,20678,20677,20799,NA,NA,NA,NA,NA,NA
05029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21273,21248,21151,21216,21176,21083
05031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96443,96726,98381,99903,101647,102518
05031,82518,83274,83978,84953,86296,87443,89669,91383,93419,95457,NA,NA,NA,NA,NA,NA
05033,53376,54100,54698,55317,56149,56910,58077,59035,59577,60102,NA,NA,NA,NA,NA,NA
05033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61948,61987,61848,61933,61658,61697
