fips,year,size
26039,pop2000,14346
26041,pop2000,38547
26043,pop2000,27481
26045,pop2000,103935
26047,pop2000,31561
26049,pop2000,436885
26051,pop2000,26118
26053,pop2000,17203
26055,pop2000,78029
26057,pop2000,42473
26059,pop2000,46672
26061,pop2000,35950
26063,pop2000,36024
26065,pop2000,279668
26067,pop2000,61679
26069,pop2000,27324
26071,pop2000,13109
26073,pop2000,63421
26075,pop2000,158735
26077,pop2000,239046
26079,pop2000,16632
26081,pop2000,576507
26083,pop2000,2310
26085,pop2000,11372
26087,pop2000,88302
26089,pop2000,21262
26091,pop2000,99070
26093,pop2000,158439
26095,pop2000,7006
26097,pop2000,11925
26099,pop2000,790821
